country_name,year,population
China,2020,"1,439,323,776"
China,2020,"1,439,323,776"
United Kingdom,2020,"67,886,011"
United Kingdom,2020,"67,886,011"
South Africa,2020,"59,308,690"
South Africa,2020,"59,308,690"
South Korea,2020,"51,269,185"
South Korea,2020,"51,269,185"
Italy,2020,"60,461,826"
Italy,2020,"60,461,826"
Tanzania,2020,"59,734,218"
Tanzania,2020,"59,734,218"
Thailand,2020,"69,799,978"
Thailand,2020,"69,799,978"
Myanmar,2020,"54,409,800"
Myanmar,2020,"54,409,800"
France,2020,"65,273,511"
France,2020,"65,273,511"
Kenya,2020,"53,771,296"
Kenya,2020,"53,771,296"
Germany,2020,"83,783,942"
Germany,2020,"83,783,942"
Iran,2020,"83,992,949"
Iran,2020,"83,992,949"
Holy See,2020,801
Holy See,2020,801
Turkey,2020,"84,339,067"
Turkey,2020,"84,339,067"
Tokelau,2020,"1,357"
Tokelau,2020,"1,357"
DR Congo,2020,"89,561,403"
DR Congo,2020,"89,561,403"
Vietnam,2020,"97,338,579"
Vietnam,2020,"97,338,579"
Egypt,2020,"102,334,404"
Egypt,2020,"102,334,404"
Niue,2020,"1,626"
Niue,2020,"1,626"
Falkland Islands,2020,"3,480"
Falkland Islands,2020,"3,480"
Saint Pierre & Miquelon,2020,"5,794"
Saint Pierre & Miquelon,2020,"5,794"
Nauru,2020,"10,824"
Nauru,2020,"10,824"
Wallis & Futuna,2020,"11,239"
Wallis & Futuna,2020,"11,239"
Saint Barthelemy,2020,"9,877"
Saint Barthelemy,2020,"9,877"
Montserrat,2020,"4,992"
Montserrat,2020,"4,992"
Saint Helena,2020,"6,077"
Saint Helena,2020,"6,077"
Tuvalu,2020,"11,792"
Tuvalu,2020,"11,792"
Cook Islands,2020,"17,564"
Anguilla,2020,"15,003"
British Virgin Islands,2020,"30,231"
British Virgin Islands,2020,"30,231"
Cook Islands,2020,"17,564"
Anguilla,2020,"15,003"
Palau,2020,"18,094"
Palau,2020,"18,094"
Caribbean Netherlands,2020,"26,223"
Caribbean Netherlands,2020,"26,223"
Gibraltar,2020,"33,691"
Gibraltar,2020,"33,691"
San Marino,2020,"33,931"
San Marino,2020,"33,931"
Liechtenstein,2020,"38,128"
Liechtenstein,2020,"38,128"
Saint Martin,2020,"38,666"
Saint Martin,2020,"38,666"
Turks and Caicos,2020,"38,717"
Turks and Caicos,2020,"38,717"
Faeroe Islands,2020,"48,863"
Faeroe Islands,2020,"48,863"
Sint Maarten,2020,"42,876"
Sint Maarten,2020,"42,876"
Saint Kitts & Nevis,2020,"53,199"
Saint Kitts & Nevis,2020,"53,199"
American Samoa,2020,"55,191"
American Samoa,2020,"55,191"
Monaco,2020,"39,242"
Monaco,2020,"39,242"
Greenland,2020,"56,770"
Greenland,2020,"56,770"
Northern Mariana Islands,2020,"57,559"
Northern Mariana Islands,2020,"57,559"
Marshall Islands,2020,"59,190"
Marshall Islands,2020,"59,190"
Bermuda,2020,"62,278"
Bermuda,2020,"62,278"
Isle of Man,2020,"85,033"
Isle of Man,2020,"85,033"
Dominica,2020,"71,986"
Dominica,2020,"71,986"
Andorra,2020,"77,265"
Andorra,2020,"77,265"
Cayman Islands,2020,"65,722"
Cayman Islands,2020,"65,722"
Antigua and Barbuda,2020,"97,929"
Antigua and Barbuda,2020,"97,929"
Seychelles,2020,"98,347"
Seychelles,2020,"98,347"
U.S. Virgin Islands,2020,"104,425"
U.S. Virgin Islands,2020,"104,425"
Tonga,2020,"105,695"
Tonga,2020,"105,695"
Aruba,2020,"106,766"
Aruba,2020,"106,766"
Grenada,2020,"112,523"
Grenada,2020,"112,523"
St. Vincent & Grenadines,2020,"110,940"
St. Vincent & Grenadines,2020,"110,940"
Kiribati,2020,"119,449"
Kiribati,2020,"119,449"
Curaçao,2020,"164,093"
Curaçao,2020,"164,093"
Guam,2020,"168,775"
Guam,2020,"168,775"
Channel Islands,2020,"173,863"
Channel Islands,2020,"173,863"
Saint Lucia,2020,"183,627"
Saint Lucia,2020,"183,627"
Samoa,2020,"198,414"
Samoa,2020,"198,414"
French Polynesia,2020,"280,908"
French Polynesia,2020,"280,908"
Sao Tome & Principe,2020,"219,159"
Sao Tome & Principe,2020,"219,159"
Mayotte,2020,"272,815"
Mayotte,2020,"272,815"
New Caledonia,2020,"285,498"
New Caledonia,2020,"285,498"
French Guiana,2020,"298,682"
French Guiana,2020,"298,682"
Barbados,2020,"287,375"
Barbados,2020,"287,375"
Iceland,2020,"341,243"
Iceland,2020,"341,243"
Vanuatu,2020,"307,145"
Vanuatu,2020,"307,145"
Martinique,2020,"375,265"
Martinique,2020,"375,265"
Belize,2020,"397,628"
Belize,2020,"397,628"
Bahamas,2020,"393,244"
Bahamas,2020,"393,244"
Guadeloupe,2020,"400,124"
Guadeloupe,2020,"400,124"
Brunei ,2020,"437,479"
Malta,2020,"441,543"
Malta,2020,"441,543"
Maldives,2020,"540,544"
Maldives,2020,"540,544"
Brunei ,2020,"437,479"
Cabo Verde,2020,"555,987"
Cabo Verde,2020,"555,987"
Suriname,2020,"586,632"
Suriname,2020,"586,632"
Western Sahara,2020,"597,339"
Western Sahara,2020,"597,339"
Micronesia,2020,"548,914"
Micronesia,2020,"548,914"
Luxembourg,2020,"625,978"
Luxembourg,2020,"625,978"
Montenegro,2020,"628,066"
Macao,2020,"649,335"
Solomon Islands,2020,"686,884"
Montenegro,2020,"628,066"
Macao,2020,"649,335"
Solomon Islands,2020,"686,884"
Bhutan,2020,"771,608"
Bhutan,2020,"771,608"
Guyana,2020,"786,552"
Guyana,2020,"786,552"
Comoros,2020,"869,601"
Comoros,2020,"869,601"
Fiji,2020,"896,445"
Djibouti,2020,"988,000"
Djibouti,2020,"988,000"
Fiji,2020,"896,445"
Eswatini,2020,"1,160,164"
Eswatini,2020,"1,160,164"
Cyprus,2020,"1,207,359"
Cyprus,2020,"1,207,359"
Réunion,2020,"895,312"
Réunion,2020,"895,312"
Mauritius,2020,"1,271,768"
Mauritius,2020,"1,271,768"
Timor-Leste,2020,"1,318,445"
Timor-Leste,2020,"1,318,445"
Bahrain,2020,"1,701,575"
Bahrain,2020,"1,701,575"
Estonia,2020,"1,326,535"
Estonia,2020,"1,326,535"
Trinidad and Tobago,2020,"1,399,488"
Trinidad and Tobago,2020,"1,399,488"
Equatorial Guinea,2020,"1,402,985"
Equatorial Guinea,2020,"1,402,985"
Guinea-Bissau,2020,"1,968,001"
Guinea-Bissau,2020,"1,968,001"
Latvia,2020,"1,886,198"
Latvia,2020,"1,886,198"
Slovenia,2020,"2,078,938"
Slovenia,2020,"2,078,938"
North Macedonia,2020,"2,083,374"
North Macedonia,2020,"2,083,374"
Lesotho,2020,"2,142,249"
Lesotho,2020,"2,142,249"
Gabon,2020,"2,225,734"
Gabon,2020,"2,225,734"
Botswana,2020,"2,351,627"
Botswana,2020,"2,351,627"
Gambia,2020,"2,416,668"
Gambia,2020,"2,416,668"
Namibia,2020,"2,540,905"
Namibia,2020,"2,540,905"
Albania,2020,"2,877,797"
Albania,2020,"2,877,797"
Lithuania,2020,"2,722,289"
Lithuania,2020,"2,722,289"
Puerto Rico,2020,"2,860,853"
Puerto Rico,2020,"2,860,853"
Qatar,2020,"2,881,053"
Qatar,2020,"2,881,053"
Armenia,2020,"2,963,243"
Armenia,2020,"2,963,243"
Jamaica,2020,"2,961,167"
Jamaica,2020,"2,961,167"
Mongolia,2020,"3,278,290"
Mongolia,2020,"3,278,290"
Bosnia and Herzegovina,2020,"3,280,819"
Bosnia and Herzegovina,2020,"3,280,819"
Georgia,2020,"3,989,167"
Georgia,2020,"3,989,167"
Uruguay,2020,"3,473,730"
Uruguay,2020,"3,473,730"
Moldova,2020,"4,033,963"
Moldova,2020,"4,033,963"
Eritrea,2020,"3,546,421"
Eritrea,2020,"3,546,421"
Croatia,2020,"4,105,267"
Croatia,2020,"4,105,267"
Kuwait,2020,"4,270,571"
Kuwait,2020,"4,270,571"
Mauritania,2020,"4,649,658"
Mauritania,2020,"4,649,658"
Panama,2020,"4,314,767"
Panama,2020,"4,314,767"
New Zealand,2020,"4,822,233"
New Zealand,2020,"4,822,233"
Central African Republic,2020,"4,829,767"
Central African Republic,2020,"4,829,767"
Ireland,2020,"4,937,786"
Ireland,2020,"4,937,786"
Costa Rica,2020,"5,094,118"
Costa Rica,2020,"5,094,118"
Liberia,2020,"5,057,681"
Liberia,2020,"5,057,681"
Norway,2020,"5,421,241"
Norway,2020,"5,421,241"
State of Palestine,2020,"5,101,414"
State of Palestine,2020,"5,101,414"
Oman,2020,"5,106,626"
Oman,2020,"5,106,626"
Denmark,2020,"5,792,202"
Denmark,2020,"5,792,202"
Slovakia,2020,"5,459,642"
Slovakia,2020,"5,459,642"
Singapore,2020,"5,850,342"
Singapore,2020,"5,850,342"
Congo,2020,"5,518,087"
Congo,2020,"5,518,087"
Turkmenistan,2020,"6,031,200"
Turkmenistan,2020,"6,031,200"
El Salvador,2020,"6,486,205"
El Salvador,2020,"6,486,205"
Finland,2020,"5,540,720"
Finland,2020,"5,540,720"
Kyrgyzstan,2020,"6,524,195"
Kyrgyzstan,2020,"6,524,195"
Nicaragua,2020,"6,624,554"
Nicaragua,2020,"6,624,554"
Libya,2020,"6,871,292"
Libya,2020,"6,871,292"
Bulgaria,2020,"6,948,445"
Bulgaria,2020,"6,948,445"
Lebanon,2020,"6,825,445"
Lebanon,2020,"6,825,445"
Paraguay,2020,"7,132,538"
Paraguay,2020,"7,132,538"
Hong Kong,2020,"7,496,981"
Hong Kong,2020,"7,496,981"
Sierra Leone,2020,"7,976,983"
Sierra Leone,2020,"7,976,983"
Laos,2020,"7,275,560"
Laos,2020,"7,275,560"
Serbia,2020,"8,737,371"
Serbia,2020,"8,737,371"
Togo,2020,"8,278,724"
Togo,2020,"8,278,724"
Israel,2020,"8,655,535"
Israel,2020,"8,655,535"
Papua New Guinea,2020,"8,947,024"
Papua New Guinea,2020,"8,947,024"
Switzerland,2020,"8,654,622"
Switzerland,2020,"8,654,622"
Austria,2020,"9,006,398"
Austria,2020,"9,006,398"
Belarus,2020,"9,449,323"
Belarus,2020,"9,449,323"
Tajikistan,2020,"9,537,645"
Tajikistan,2020,"9,537,645"
Hungary,2020,"9,660,351"
Hungary,2020,"9,660,351"
United Arab Emirates,2020,"9,890,402"
United Arab Emirates,2020,"9,890,402"
Honduras,2020,"9,904,607"
Honduras,2020,"9,904,607"
Sweden,2020,"10,099,265"
Sweden,2020,"10,099,265"
Portugal,2020,"10,196,709"
Portugal,2020,"10,196,709"
Azerbaijan,2020,"10,139,177"
Azerbaijan,2020,"10,139,177"
Jordan,2020,"10,203,134"
Jordan,2020,"10,203,134"
Greece,2020,"10,423,054"
Greece,2020,"10,423,054"
Dominican Republic,2020,"10,847,910"
Dominican Republic,2020,"10,847,910"
Czech Republic (Czechia),2020,"10,708,981"
Czech Republic (Czechia),2020,"10,708,981"
South Sudan,2020,"11,193,725"
South Sudan,2020,"11,193,725"
Tunisia,2020,"11,818,619"
Tunisia,2020,"11,818,619"
Cuba,2020,"11,326,616"
Cuba,2020,"11,326,616"
Bolivia,2020,"11,673,021"
Bolivia,2020,"11,673,021"
Haiti,2020,"11,402,528"
Haiti,2020,"11,402,528"
Belgium,2020,"11,589,623"
Belgium,2020,"11,589,623"
Burundi,2020,"11,890,784"
Burundi,2020,"11,890,784"
Rwanda,2020,"12,952,218"
Rwanda,2020,"12,952,218"
Zimbabwe,2020,"14,862,924"
Zimbabwe,2020,"14,862,924"
Benin,2020,"12,123,200"
Benin,2020,"12,123,200"
Guinea,2020,"13,132,795"
Guinea,2020,"13,132,795"
Chad,2020,"16,425,864"
Chad,2020,"16,425,864"
Cambodia,2020,"16,718,965"
Cambodia,2020,"16,718,965"
Somalia,2020,"15,893,222"
Somalia,2020,"15,893,222"
Zambia,2020,"18,383,955"
Zambia,2020,"18,383,955"
Chile,2020,"19,116,201"
Chile,2020,"19,116,201"
Syria,2020,"17,500,658"
Syria,2020,"17,500,658"
Ecuador,2020,"17,643,054"
Ecuador,2020,"17,643,054"
Senegal,2020,"16,743,927"
Senegal,2020,"16,743,927"
Netherlands,2020,"17,134,872"
Netherlands,2020,"17,134,872"
Guatemala,2020,"17,915,568"
Guatemala,2020,"17,915,568"
Kazakhstan,2020,"18,776,707"
Kazakhstan,2020,"18,776,707"
Malawi,2020,"19,129,952"
Malawi,2020,"19,129,952"
Romania,2020,"19,237,691"
Romania,2020,"19,237,691"
Burkina Faso,2020,"20,903,273"
Burkina Faso,2020,"20,903,273"
Sri Lanka,2020,"21,413,249"
Sri Lanka,2020,"21,413,249"
Taiwan,2020,"23,816,775"
Taiwan,2020,"23,816,775"
Niger,2020,"24,206,644"
Niger,2020,"24,206,644"
Mali,2020,"20,250,833"
Mali,2020,"20,250,833"
Australia,2020,"25,499,884"
Australia,2020,"25,499,884"
North Korea,2020,"25,778,816"
North Korea,2020,"25,778,816"
Cameroon,2020,"26,545,863"
Cameroon,2020,"26,545,863"
Côte d'Ivoire,2020,"26,378,274"
Côte d'Ivoire,2020,"26,378,274"
Madagascar,2020,"27,691,018"
Madagascar,2020,"27,691,018"
Venezuela,2020,"28,435,940"
Venezuela,2020,"28,435,940"
Yemen,2020,"29,825,964"
Yemen,2020,"29,825,964"
Nepal,2020,"29,136,808"
Nepal,2020,"29,136,808"
Ghana,2020,"31,072,940"
Ghana,2020,"31,072,940"
Mozambique,2020,"31,255,435"
Mozambique,2020,"31,255,435"
Malaysia,2020,"32,365,999"
Malaysia,2020,"32,365,999"
Angola,2020,"32,866,272"
Angola,2020,"32,866,272"
Peru,2020,"32,971,854"
Peru,2020,"32,971,854"
Canada,2020,"37,742,154"
Canada,2020,"37,742,154"
Poland,2020,"37,846,611"
Poland,2020,"37,846,611"
Uzbekistan,2020,"33,469,203"
Uzbekistan,2020,"33,469,203"
Morocco,2020,"36,910,560"
Morocco,2020,"36,910,560"
Saudi Arabia,2020,"34,813,871"
Saudi Arabia,2020,"34,813,871"
Afghanistan,2020,"38,928,346"
Afghanistan,2020,"38,928,346"
Iraq,2020,"40,222,493"
Iraq,2020,"40,222,493"
Ukraine,2020,"43,733,762"
Ukraine,2020,"43,733,762"
Sudan,2020,"43,849,260"
Algeria,2020,"43,851,044"
Uganda,2020,"45,741,007"
Uganda,2020,"45,741,007"
Sudan,2020,"43,849,260"
Algeria,2020,"43,851,044"
Spain,2020,"46,754,778"
Spain,2020,"46,754,778"
Argentina,2020,"45,195,774"
Argentina,2020,"45,195,774"
Colombia,2020,"50,882,891"
Colombia,2020,"50,882,891"
Ethiopia,2020,"114,963,588"
Ethiopia,2020,"114,963,588"
Philippines,2020,"109,581,078"
Philippines,2020,"109,581,078"
Mexico,2020,"128,932,753"
Mexico,2020,"128,932,753"
Bangladesh,2020,"164,689,383"
Bangladesh,2020,"164,689,383"
Russia,2020,"145,934,462"
Russia,2020,"145,934,462"
Japan,2020,"126,476,461"
Japan,2020,"126,476,461"
Nigeria,2020,"206,139,589"
Brazil,2020,"212,559,417"
Nigeria,2020,"206,139,589"
Brazil,2020,"212,559,417"
Pakistan,2020,"220,892,340"
Pakistan,2020,"220,892,340"
India,2020,"1,380,004,385"
India,2020,"1,380,004,385"
United States,2020,"331,002,651"
United States,2020,"331,002,651"
Indonesia,2020,"273,523,615"
Indonesia,2020,"273,523,615"
